location,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
"New Delhi, India",2026-07-29T13:00,37.4,64,991.7,12.6
"New Delhi, India",2026-07-29T14:00,38.4,64,992.6,8.9
"New Delhi, India",2026-07-29T15:00,37.7,65,992.7,9.9
"New Delhi, India",2026-07-29T16:00,36.7,67,992.8,4.6
"New Delhi, India",2026-07-29T17:00,35.8,68,993.3,6.6
"New Delhi, India",2026-07-29T18:00,35.6,72,993.2,8.9
"New Delhi, India",2026-07-29T19:00,34.4,70,992.1,8.8
"New Delhi, India",2026-07-29T20:00,33.3,77,994.9,9.0
"New Delhi, India",2026-07-29T21:00,31.7,69,994.4,8.7
"New Delhi, India",2026-07-29T22:00,31.5,67,994.1,9.1
"New Delhi, India",2026-07-29T23:00,29.3,73,993.3,8.1
"New Delhi, India",2026-07-30T00:00,29.0,74,992.7,8.4
"New Delhi, India",2026-07-30T01:00,29.6,66,992.7,8.4
"New Delhi, India",2026-07-30T02:00,28.4,74,990.9,8.8
"New Delhi, India",2026-07-30T03:00,29.2,70,994.0,7.2
"New Delhi, India",2026-07-30T04:00,28.1,72,992.6,11.3
"New Delhi, India",2026-07-30T05:00,29.0,80,994.4,9.1
"New Delhi, India",2026-07-30T06:00,30.5,75,994.0,7.3
"New Delhi, India",2026-07-30T07:00,30.2,72,994.2,5.1
"New Delhi, India",2026-07-30T08:00,31.7,72,994.4,9.9
"New Delhi, India",2026-07-30T09:00,33.5,73,991.1,7.8
"New Delhi, India",2026-07-30T10:00,32.5,70,994.8,9.6
"New Delhi, India",2026-07-30T11:00,33.9,68,993.0,5.0
"New Delhi, India",2026-07-30T12:00,34.8,71,994.4,9.5
"New Delhi, India",2026-07-30T13:00,34.3,71,993.1,9.0
"New Delhi, India",2026-07-30T14:00,37.5,62,992.3,9.5
"New Delhi, India",2026-07-30T15:00,35.4,74,993.4,10.1
"New Delhi, India",2026-07-30T16:00,36.0,71,994.3,8.6
"New Delhi, India",2026-07-30T17:00,36.1,70,992.0,7.6
"New Delhi, India",2026-07-30T18:00,35.1,71,994.2,5.4
"New Delhi, India",2026-07-30T19:00,34.3,75,992.1,5.9
"New Delhi, India",2026-07-30T20:00,33.5,74,993.0,11.3
"New Delhi, India",2026-07-30T21:00,32.8,74,993.7,13.8
"New Delhi, India",2026-07-30T22:00,31.0,67,994.9,6.9
"New Delhi, India",2026-07-30T23:00,30.2,78,991.1,4.9
"New Delhi, India",2026-07-31T00:00,28.1,73,993.5,9.3
"New Delhi, India",2026-07-31T01:00,28.8,71,990.2,8.1
"New Delhi, India",2026-07-31T02:00,27.8,77,993.8,8.3
"New Delhi, India",2026-07-31T03:00,28.5,76,993.6,6.2
"New Delhi, India",2026-07-31T04:00,28.0,76,994.0,7.0
"New Delhi, India",2026-07-31T05:00,28.9,74,992.9,10.1
"New Delhi, India",2026-07-31T06:00,27.8,72,991.2,2.2
"New Delhi, India",2026-07-31T07:00,29.7,76,992.7,8.5
"New Delhi, India",2026-07-31T08:00,31.9,76,992.9,11.4
"New Delhi, India",2026-07-31T09:00,32.3,69,992.3,4.3
"New Delhi, India",2026-07-31T10:00,32.7,71,994.0,12.3
"New Delhi, India",2026-07-31T11:00,33.4,72,991.8,9.2
"New Delhi, India",2026-07-31T12:00,35.2,64,994.1,6.5
"New Delhi, India",2026-07-31T13:00,35.6,66,992.2,9.1
"New Delhi, India",2026-07-31T14:00,36.2,70,993.4,11.3
"New Delhi, India",2026-07-31T15:00,36.3,64,994.3,7.2
"New Delhi, India",2026-07-31T16:00,37.1,69,992.8,8.9
"New Delhi, India",2026-07-31T17:00,37.3,74,993.1,8.4
"New Delhi, India",2026-07-31T18:00,36.0,66,993.4,7.9
"New Delhi, India",2026-07-31T19:00,34.6,68,991.1,2.8
"New Delhi, India",2026-07-31T20:00,32.6,70,992.6,12.8
"New Delhi, India",2026-07-31T21:00,33.0,69,993.4,7.0
"New Delhi, India",2026-07-31T22:00,31.0,74,993.7,7.2
"New Delhi, India",2026-07-31T23:00,30.9,70,993.0,14.5
"New Delhi, India",2026-08-01T00:00,29.4,79,993.1,9.5
"New Delhi, India",2026-08-01T01:00,28.5,74,992.1,9.1
"New Delhi, India",2026-08-01T02:00,27.5,78,994.3,8.9
"New Delhi, India",2026-08-01T03:00,27.8,77,992.6,10.3
"New Delhi, India",2026-08-01T04:00,26.9,75,990.6,4.3
"New Delhi, India",2026-08-01T05:00,29.5,77,992.1,4.2
"New Delhi, India",2026-08-01T06:00,27.2,74,995.9,9.1
"New Delhi, India",2026-08-01T07:00,29.7,75,991.1,7.3
"New Delhi, India",2026-08-01T08:00,31.2,73,993.9,8.9
"New Delhi, India",2026-08-01T09:00,32.7,70,994.1,12.1
"New Delhi, India",2026-08-01T10:00,32.7,69,994.6,7.5
"New Delhi, India",2026-08-01T11:00,35.4,68,994.7,8.3
"New Delhi, India",2026-08-01T12:00,35.4,74,992.6,5.6
"New Delhi, India",2026-08-01T13:00,35.6,71,991.1,9.6
"New Delhi, India",2026-08-01T14:00,36.0,72,990.1,6.0
"New Delhi, India",2026-08-01T15:00,35.3,67,993.3,7.6
"New Delhi, India",2026-08-01T16:00,36.2,68,993.2,5.5
"New Delhi, India",2026-08-01T17:00,36.4,71,993.5,9.4
"New Delhi, India",2026-08-01T18:00,35.5,76,992.9,7.2
"New Delhi, India",2026-08-01T19:00,33.8,68,991.5,5.8
"New Delhi, India",2026-08-01T20:00,33.3,72,993.1,6.1
"New Delhi, India",2026-08-01T21:00,32.9,74,992.8,6.4
"New Delhi, India",2026-08-01T22:00,31.5,73,991.3,7.8
"New Delhi, India",2026-08-01T23:00,30.3,71,993.2,4.4
"New Delhi, India",2026-08-02T00:00,30.2,77,992.7,8.9
"New Delhi, India",2026-08-02T01:00,26.9,73,992.6,5.3
"New Delhi, India",2026-08-02T02:00,28.6,81,991.6,5.9
"New Delhi, India",2026-08-02T03:00,28.2,80,991.5,8.6
"New Delhi, India",2026-08-02T04:00,29.4,69,991.5,6.9
"New Delhi, India",2026-08-02T05:00,28.2,78,993.3,3.6
"New Delhi, India",2026-08-02T06:00,29.6,72,994.5,6.4
"New Delhi, India",2026-08-02T07:00,29.7,76,993.9,9.1
"New Delhi, India",2026-08-02T08:00,30.0,75,991.8,8.6
"New Delhi, India",2026-08-02T09:00,31.3,74,992.0,4.8
"New Delhi, India",2026-08-02T10:00,33.8,71,992.3,11.6
"New Delhi, India",2026-08-02T11:00,34.1,71,993.3,6.5
"New Delhi, India",2026-08-02T12:00,35.6,68,992.5,11.4
"New Delhi, India",2026-08-02T13:00,35.2,62,994.9,14.4
"New Delhi, India",2026-08-02T14:00,36.1,63,992.6,7.3
"New Delhi, India",2026-08-02T15:00,36.4,65,993.7,9.3
"New Delhi, India",2026-08-02T16:00,35.3,72,995.5,8.4
"New Delhi, India",2026-08-02T17:00,35.7,69,993.7,3.7
"New Delhi, India",2026-08-02T18:00,35.4,68,995.2,7.6
"New Delhi, India",2026-08-02T19:00,35.5,66,993.7,8.8
"New Delhi, India",2026-08-02T20:00,32.7,72,994.5,7.2
"New Delhi, India",2026-08-02T21:00,31.1,73,991.9,7.1
"New Delhi, India",2026-08-02T22:00,31.1,68,991.1,9.2
"New Delhi, India",2026-08-02T23:00,29.8,66,993.9,8.7
"Reykjavik, Iceland",2026-07-27T00:00,5.1,78,1006.0,18.9
"Reykjavik, Iceland",2026-07-27T01:00,6.9,81,1005.5,17.6
"Reykjavik, Iceland",2026-07-27T02:00,5.6,83,1006.5,16.7
"Reykjavik, Iceland",2026-07-27T03:00,4.7,80,1005.9,21.7
"Reykjavik, Iceland",2026-07-27T04:00,4.7,81,1005.4,17.4
"Reykjavik, Iceland",2026-07-27T05:00,5.9,74,1004.0,16.0
"Reykjavik, Iceland",2026-07-27T06:00,4.0,80,1003.9,17.5
"Reykjavik, Iceland",2026-07-27T07:00,6.8,79,1003.8,17.9
"Reykjavik, Iceland",2026-07-27T08:00,7.2,77,1003.9,19.4
"Reykjavik, Iceland",2026-07-27T09:00,6.8,82,1005.0,19.8
"Reykjavik, Iceland",2026-07-27T10:00,6.8,80,1004.7,15.0
"Reykjavik, Iceland",2026-07-27T11:00,6.9,82,1004.6,15.4
"Reykjavik, Iceland",2026-07-27T12:00,8.3,82,1002.3,14.3
"Reykjavik, Iceland",2026-07-27T13:00,8.1,84,1005.3,19.9
"Reykjavik, Iceland",2026-07-27T14:00,8.1,76,1005.5,18.1
"Reykjavik, Iceland",2026-07-27T15:00,9.4,78,1005.3,18.4
"Reykjavik, Iceland",2026-07-27T16:00,9.5,80,1003.1,12.4
"Reykjavik, Iceland",2026-07-27T17:00,9.4,82,1003.8,13.4
"Reykjavik, Iceland",2026-07-27T18:00,8.5,82,1007.2,19.3
"Reykjavik, Iceland",2026-07-27T19:00,7.7,77,1005.0,17.3
"Reykjavik, Iceland",2026-07-27T20:00,6.8,86,1007.1,20.8
"Reykjavik, Iceland",2026-07-27T21:00,6.4,83,1005.8,19.1
"Reykjavik, Iceland",2026-07-27T22:00,7.4,82,1005.9,19.6
"Reykjavik, Iceland",2026-07-27T23:00,6.2,75,1005.1,16.6
"Reykjavik, Iceland",2026-07-28T00:00,4.7,87,1007.1,21.4
"Reykjavik, Iceland",2026-07-28T01:00,5.4,85,1005.0,18.5
"Reykjavik, Iceland",2026-07-28T02:00,4.3,83,1005.1,14.7
"Reykjavik, Iceland",2026-07-28T03:00,5.0,81,1007.2,20.2
"Reykjavik, Iceland",2026-07-28T04:00,5.1,82,1005.1,17.5
"Reykjavik, Iceland",2026-07-28T05:00,4.5,82,1004.1,14.9
"Reykjavik, Iceland",2026-07-28T06:00,5.9,82,1002.9,17.7
"Reykjavik, Iceland",2026-07-28T07:00,6.7,83,1006.2,18.1
"Reykjavik, Iceland",2026-07-28T08:00,5.9,78,1005.4,18.9
"Reykjavik, Iceland",2026-07-28T09:00,7.9,83,1004.8,14.9
"Reykjavik, Iceland",2026-07-28T10:00,7.3,80,1004.8,16.6
"Reykjavik, Iceland",2026-07-28T11:00,8.2,78,1004.2,18.8
"Reykjavik, Iceland",2026-07-28T12:00,8.1,80,1005.3,15.2
"Reykjavik, Iceland",2026-07-28T13:00,8.4,83,1003.6,12.7
"Reykjavik, Iceland",2026-07-28T14:00,7.6,80,1005.0,17.7
"Reykjavik, Iceland",2026-07-28T15:00,9.8,70,1005.5,21.9
"Reykjavik, Iceland",2026-07-28T16:00,8.1,78,1004.1,15.8
"Reykjavik, Iceland",2026-07-28T17:00,8.5,83,1007.2,17.2
"Reykjavik, Iceland",2026-07-28T18:00,9.7,78,1007.1,17.8
"Reykjavik, Iceland",2026-07-28T19:00,8.1,80,1008.8,20.1
"Reykjavik, Iceland",2026-07-28T20:00,7.0,83,1004.6,16.8
"Reykjavik, Iceland",2026-07-28T21:00,7.6,80,1005.3,18.0
"Reykjavik, Iceland",2026-07-28T22:00,6.7,82,1002.7,19.7
"Reykjavik, Iceland",2026-07-28T23:00,5.3,77,1004.9,18.2
"Reykjavik, Iceland",2026-07-29T00:00,5.1,84,1003.4,17.0
"Reykjavik, Iceland",2026-07-29T01:00,4.9,82,1005.3,15.5
"Reykjavik, Iceland",2026-07-29T02:00,5.6,81,1002.7,13.1
"Reykjavik, Iceland",2026-07-29T03:00,5.0,81,1004.9,17.9
"Reykjavik, Iceland",2026-07-29T04:00,5.2,84,1003.7,15.1
"Reykjavik, Iceland",2026-07-29T05:00,4.5,83,1006.5,16.9
"Reykjavik, Iceland",2026-07-29T06:00,3.8,77,1004.0,16.6
"Reykjavik, Iceland",2026-07-29T07:00,5.7,81,1004.6,20.6
"Reykjavik, Iceland",2026-07-29T08:00,6.0,78,1005.6,14.2
"Reykjavik, Iceland",2026-07-29T09:00,7.3,80,1004.8,22.0
"Reykjavik, Iceland",2026-07-29T10:00,7.1,86,1004.7,14.8
"Reykjavik, Iceland",2026-07-29T11:00,8.0,76,1004.1,19.0
"Reykjavik, Iceland",2026-07-29T12:00,8.8,77,1006.2,20.9
"Reykjavik, Iceland",2026-07-29T13:00,9.7,79,1006.6,13.3
"Reykjavik, Iceland",2026-07-29T14:00,8.7,76,1005.1,16.6
"Reykjavik, Iceland",2026-07-29T15:00,8.9,84,1004.8,19.0
"Reykjavik, Iceland",2026-07-29T16:00,8.8,79,1005.0,19.1
"Reykjavik, Iceland",2026-07-29T17:00,9.5,83,1005.4,19.5
"Reykjavik, Iceland",2026-07-29T18:00,7.6,79,1006.1,20.2
"Reykjavik, Iceland",2026-07-29T19:00,8.1,82,1005.6,21.0
"Reykjavik, Iceland",2026-07-29T20:00,7.7,78,1005.4,10.7
"Reykjavik, Iceland",2026-07-29T21:00,7.3,69,1002.9,19.1
"Reykjavik, Iceland",2026-07-29T22:00,6.8,77,1004.1,21.4
"Reykjavik, Iceland",2026-07-29T23:00,5.7,88,1005.0,19.0
"Reykjavik, Iceland",2026-07-30T00:00,6.7,81,1003.8,17.7
"Reykjavik, Iceland",2026-07-30T01:00,5.2,77,1004.7,16.1
"Reykjavik, Iceland",2026-07-30T02:00,5.7,81,1004.7,17.7
"Reykjavik, Iceland",2026-07-30T03:00,5.2,83,1003.8,15.4
"Reykjavik, Iceland",2026-07-30T04:00,5.8,80,1003.3,19.1
"Reykjavik, Iceland",2026-07-30T05:00,5.6,77,1005.3,19.8
"Reykjavik, Iceland",2026-07-30T06:00,5.8,83,1003.3,18.8
"Reykjavik, Iceland",2026-07-30T07:00,5.8,80,1006.0,21.7
"Reykjavik, Iceland",2026-07-30T08:00,7.7,83,1004.9,18.9
"Reykjavik, Iceland",2026-07-30T09:00,7.5,80,1005.2,20.1
"Reykjavik, Iceland",2026-07-30T10:00,7.5,77,1004.5,19.6
"Reykjavik, Iceland",2026-07-30T11:00,8.0,80,1005.8,17.1
"Reykjavik, Iceland",2026-07-30T12:00,8.9,80,1003.5,21.6
"Reykjavik, Iceland",2026-07-30T13:00,8.4,74,1003.7,15.4
"Reykjavik, Iceland",2026-07-30T14:00,9.0,78,1004.6,19.5
"Reykjavik, Iceland",2026-07-30T15:00,9.2,79,1005.5,19.5
"Reykjavik, Iceland",2026-07-30T16:00,7.5,79,1002.4,18.1
"Reykjavik, Iceland",2026-07-30T17:00,8.7,82,1006.4,18.5
"Reykjavik, Iceland",2026-07-30T18:00,8.1,81,1004.4,18.0
"Reykjavik, Iceland",2026-07-30T19:00,8.7,77,1006.0,19.7
"Reykjavik, Iceland",2026-07-30T20:00,6.8,83,1005.8,18.3
"Reykjavik, Iceland",2026-07-30T21:00,6.5,78,1004.4,19.4
"Reykjavik, Iceland",2026-07-30T22:00,5.8,82,1003.5,17.5
"Reykjavik, Iceland",2026-07-30T23:00,6.1,88,1003.3,21.7
"Reykjavik, Iceland",2026-07-31T00:00,5.7,82,1005.1,19.1
"Reykjavik, Iceland",2026-07-31T01:00,5.2,86,1004.5,20.8
"Reykjavik, Iceland",2026-07-31T02:00,4.6,82,1003.7,19.1
"Reykjavik, Iceland",2026-07-31T03:00,6.0,81,1004.8,15.2
"Reykjavik, Iceland",2026-07-31T04:00,4.9,77,1003.9,18.6
"Reykjavik, Iceland",2026-07-31T05:00,6.2,89,1004.3,21.6
"Reykjavik, Iceland",2026-07-31T06:00,5.8,81,1005.5,18.2
"Reykjavik, Iceland",2026-07-31T07:00,6.1,79,1003.3,14.1
"Reykjavik, Iceland",2026-07-31T08:00,6.9,79,1004.3,18.0
"Reykjavik, Iceland",2026-07-31T09:00,7.6,80,1004.2,21.1
"Reykjavik, Iceland",2026-07-31T10:00,8.6,80,1006.2,21.1
"Reykjavik, Iceland",2026-07-31T11:00,8.8,80,1005.7,19.3
"Reykjavik, Iceland",2026-07-31T12:00,7.6,82,1003.4,16.0
"Reykjavik, Iceland",2026-07-31T13:00,9.6,80,1006.8,17.3
"Reykjavik, Iceland",2026-07-31T14:00,8.1,78,1005.1,18.2
"Reykjavik, Iceland",2026-07-31T15:00,9.8,77,1005.4,15.5
"Reykjavik, Iceland",2026-07-31T16:00,9.2,78,1004.1,17.4
"Reykjavik, Iceland",2026-07-31T17:00,8.6,78,1007.1,17.8
"Reykjavik, Iceland",2026-07-31T18:00,8.2,73,1003.9,17.3
"Reykjavik, Iceland",2026-07-31T19:00,7.5,84,1004.8,21.2
"Reykjavik, Iceland",2026-07-31T20:00,7.6,80,1004.9,18.0
"Reykjavik, Iceland",2026-07-31T21:00,8.2,72,1002.6,16.6
"Reykjavik, Iceland",2026-07-31T22:00,6.5,82,1005.6,17.0
"Reykjavik, Iceland",2026-07-31T23:00,6.7,83,1005.2,20.4
"Reykjavik, Iceland",2026-08-01T00:00,5.8,79,1005.8,18.3
"Reykjavik, Iceland",2026-08-01T01:00,5.3,86,1002.1,14.5
"Reykjavik, Iceland",2026-08-01T02:00,4.2,81,1004.7,14.2
"Reykjavik, Iceland",2026-08-01T03:00,4.3,80,1007.9,22.5
"Reykjavik, Iceland",2026-08-01T04:00,4.8,81,1003.6,13.2
"Reykjavik, Iceland",2026-08-01T05:00,5.2,78,1004.9,14.0
"Reykjavik, Iceland",2026-08-01T06:00,5.1,82,1005.4,19.0
"Reykjavik, Iceland",2026-08-01T07:00,5.1,84,1004.0,19.6
"Reykjavik, Iceland",2026-08-01T08:00,6.5,76,1004.6,18.9
"Reykjavik, Iceland",2026-08-01T09:00,7.4,79,1006.8,20.5
"Reykjavik, Iceland",2026-08-01T10:00,7.3,82,1007.3,22.9
"Reykjavik, Iceland",2026-08-01T11:00,7.1,77,1006.8,15.4
"Reykjavik, Iceland",2026-08-01T12:00,7.5,78,1005.5,17.7
"Reykjavik, Iceland",2026-08-01T13:00,8.3,77,1004.1,15.8
"Reykjavik, Iceland",2026-08-01T14:00,10.5,78,1006.1,16.8
"Reykjavik, Iceland",2026-08-01T15:00,8.9,76,1001.8,14.6
"Reykjavik, Iceland",2026-08-01T16:00,7.7,73,1003.6,21.3
"Reykjavik, Iceland",2026-08-01T17:00,8.7,83,1005.5,20.0
"Reykjavik, Iceland",2026-08-01T18:00,7.8,81,1005.9,16.6
"Reykjavik, Iceland",2026-08-01T19:00,8.4,81,1004.3,15.2
"Reykjavik, Iceland",2026-08-01T20:00,6.7,80,1005.4,16.0
"Reykjavik, Iceland",2026-08-01T21:00,7.0,82,1005.7,21.9
"Reykjavik, Iceland",2026-08-01T22:00,7.4,77,1007.0,16.7
"Reykjavik, Iceland",2026-08-01T23:00,6.7,80,1004.5,13.5
"Reykjavik, Iceland",2026-08-02T00:00,5.5,77,1006.2,21.8
"Reykjavik, Iceland",2026-08-02T01:00,4.7,83,1004.1,16.4
"Reykjavik, Iceland",2026-08-02T02:00,5.6,81,1007.1,16.8
"Reykjavik, Iceland",2026-08-02T03:00,5.7,81,1006.0,16.9
"Reykjavik, Iceland",2026-08-02T04:00,5.0,81,1004.0,19.7
"Reykjavik, Iceland",2026-08-02T05:00,5.7,83,1006.8,21.6
"Reykjavik, Iceland",2026-08-02T06:00,5.3,82,1004.3,18.1
"Reykjavik, Iceland",2026-08-02T07:00,5.6,86,1005.4,17.5
"Reykjavik, Iceland",2026-08-02T08:00,7.3,73,1002.6,20.0
"Reykjavik, Iceland",2026-08-02T09:00,7.0,81,1003.4,17.9
"Reykjavik, Iceland",2026-08-02T10:00,8.9,81,1005.2,16.9
"Reykjavik, Iceland",2026-08-02T11:00,7.7,73,1005.3,20.1
"Reykjavik, Iceland",2026-08-02T12:00,7.3,78,1003.6,15.6
"Reykjavik, Iceland",2026-08-02T13:00,8.8,72,1005.7,19.9
"Reykjavik, Iceland",2026-08-02T14:00,8.8,71,1003.8,21.1
"Reykjavik, Iceland",2026-08-02T15:00,7.1,79,1003.6,20.0
"Reykjavik, Iceland",2026-08-02T16:00,8.5,80,1005.7,22.6
"Reykjavik, Iceland",2026-08-02T17:00,8.6,80,1003.2,21.0
"Reykjavik, Iceland",2026-08-02T18:00,7.9,78,1005.0,14.1
"Reykjavik, Iceland",2026-08-02T19:00,8.2,82,1005.4,14.0
"Reykjavik, Iceland",2026-08-02T20:00,7.4,82,1002.7,15.3
"Reykjavik, Iceland",2026-08-02T21:00,7.6,80,1005.5,22.6
"Reykjavik, Iceland",2026-08-02T22:00,6.8,82,1008.3,17.5
"Reykjavik, Iceland",2026-08-02T23:00,5.4,83,1005.5,16.7
"London, UK",2026-07-27T00:00,12.3,79,1013.4,12.2
"London, UK",2026-07-27T01:00,13.1,72,1012.7,15.4
"London, UK",2026-07-27T02:00,11.2,74,1015.3,15.2
"London, UK",2026-07-27T03:00,11.7,72,1012.5,13.4
"London, UK",2026-07-27T04:00,11.9,76,1010.9,16.2
"London, UK",2026-07-27T05:00,12.2,74,1011.6,17.3
"London, UK",2026-07-27T06:00,13.9,74,1011.2,16.1
"London, UK",2026-07-27T07:00,14.0,66,1013.0,14.9
"London, UK",2026-07-27T08:00,15.0,71,1013.3,17.7
"London, UK",2026-07-27T09:00,16.4,61,1012.6,13.6
"London, UK",2026-07-27T10:00,15.2,71,1014.5,11.3
"London, UK",2026-07-27T11:00,17.5,66,1012.2,17.7
"London, UK",2026-07-27T12:00,17.6,70,1010.8,18.7
"London, UK",2026-07-27T13:00,19.0,67,1013.7,10.5
"London, UK",2026-07-27T14:00,19.7,66,1012.8,12.8
"London, UK",2026-07-27T15:00,18.6,70,1013.3,15.6
"London, UK",2026-07-27T16:00,18.9,69,1012.5,19.6
"London, UK",2026-07-27T17:00,17.4,72,1014.6,11.9
"London, UK",2026-07-27T18:00,19.5,70,1014.2,14.1
"London, UK",2026-07-27T19:00,17.1,68,1013.5,17.5
"London, UK",2026-07-27T20:00,16.5,66,1014.0,16.3
"London, UK",2026-07-27T21:00,16.0,72,1012.7,11.7
"London, UK",2026-07-27T22:00,14.0,66,1013.3,13.8
"London, UK",2026-07-27T23:00,13.4,63,1011.5,16.8
"London, UK",2026-07-28T00:00,12.6,73,1011.3,17.6
"London, UK",2026-07-28T01:00,12.4,73,1015.8,17.8
"London, UK",2026-07-28T02:00,11.9,71,1012.6,15.3
"London, UK",2026-07-28T03:00,11.9,72,1014.8,13.7
"London, UK",2026-07-28T04:00,13.7,72,1015.1,14.9
"London, UK",2026-07-28T05:00,13.1,70,1012.0,15.1
"London, UK",2026-07-28T06:00,13.7,72,1011.5,10.6
"London, UK",2026-07-28T07:00,12.8,67,1013.1,16.8
"London, UK",2026-07-28T08:00,14.6,64,1012.8,13.6
"London, UK",2026-07-28T09:00,17.0,64,1012.5,18.3
"London, UK",2026-07-28T10:00,16.7,71,1013.1,14.8
"London, UK",2026-07-28T11:00,17.8,66,1014.1,10.6
"London, UK",2026-07-28T12:00,18.2,68,1012.3,13.9
"London, UK",2026-07-28T13:00,18.1,65,1012.6,11.2
"London, UK",2026-07-28T14:00,19.1,64,1013.9,11.0
"London, UK",2026-07-28T15:00,18.6,66,1014.6,14.8
"London, UK",2026-07-28T16:00,18.7,69,1010.5,13.9
"London, UK",2026-07-28T17:00,19.9,67,1013.1,15.4
"London, UK",2026-07-28T18:00,18.6,62,1011.0,14.5
"London, UK",2026-07-28T19:00,16.7,73,1012.6,9.2
"London, UK",2026-07-28T20:00,15.5,62,1012.7,13.5
"London, UK",2026-07-28T21:00,15.2,73,1014.4,13.6
"London, UK",2026-07-28T22:00,13.1,74,1013.7,14.8
"London, UK",2026-07-28T23:00,14.4,67,1015.4,11.6
"London, UK",2026-07-29T00:00,13.5,67,1011.9,17.8
"London, UK",2026-07-29T01:00,12.3,75,1013.3,13.7
"London, UK",2026-07-29T02:00,13.1,71,1010.9,12.0
